,State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type,federal_supply_class,year
112728,TN,ADAMSVILLE POLICE DEPARTMENT,4920-01-185-9027,BACKLASH TOOL SET-X,1,Set,354.0,Q,3.0,2015-12-29 00:00:00.000,State,4920,2015
112729,TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-517-1751,"SIGHT,HOLOGRAPHIC  ",2,Each,273.0,D,1.0,2015-12-23 00:00:00.000,State,1240,2015
112730,TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-471-5456,"BARREL,CARBINE",2,Each,107.56,D,1.0,2016-01-04 00:00:00.000,State,1005,2016
112731,TN,ADAMSVILLE POLICE DEPARTMENT,4933-01-394-7781,"BORE LIGHT SYSTEM,LASER",1,Each,642.0,D,1.0,2016-02-17 00:00:00.000,State,4933,2016
112732,TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-581-8985,"SIGHT,REFLEX",4,Each,228.39,D,1.0,2016-01-21 00:00:00.000,State,1240,2016
112733,TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-199-8676,"TELESCOPE,PANORAMIC",1,Each,5584.0,D,1.0,2016-02-10 00:00:00.000,State,1240,2016
112734,TN,ADAMSVILLE POLICE DEPARTMENT,4933-01-394-7781,"BORE LIGHT SYSTEM,LASER",1,Each,642.0,D,1.0,2016-02-17 00:00:00.000,State,4933,2016
112735,TN,ADAMSVILLE POLICE DEPARTMENT,5860-01-564-8167,"MARKER,LASER",1,Each,1401.0,D,1.0,2017-03-13 00:00:00.000,State,5860,2017
112736,TN,ADAMSVILLE POLICE DEPARTMENT,6665-01-554-8022,"DETECTOR,EXPLOSIVE ORDNANCE",2,Each,294.35,D,1.0,2016-07-11 00:00:00.000,State,6665,2016
112737,TN,ADAMSVILLE POLICE DEPARTMENT,5820-01-531-1752,SINGLE PERSONAL ROLE RADIO,4,Each,1499.28,D,1.0,2017-12-01 00:00:00.000,State,5820,2017
112738,TN,ADAMSVILLE POLICE DEPARTMENT,6720-01-571-4627,"CAMERA SYSTEM,DIGITAL",4,Each,180.81,Q,3.0,2017-09-18 00:00:00.000,State,6720,2017
112739,TN,ADAMSVILLE POLICE DEPARTMENT,6650-00-431-4375,MAGNIFIER,5,Each,45.16,Q,3.0,2017-09-28 00:00:00.000,State,6650,2017
112740,TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-165-2183,"TELESCOPE,STRAIGHT",1,Each,1556.06,D,1.0,2017-12-06 00:00:00.000,State,1240,2017
112741,TN,ADAMSVILLE POLICE DEPARTMENT,5180-00-557-2731,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Each,4000.0,Q,3.0,2018-02-23 00:00:00.000,State,5180,2018
112742,TN,ADAMSVILLE POLICE DEPARTMENT,8475-01-475-6577,"HELMET,FLYERS",1,Each,8045.14,D,1.0,2017-10-18 00:00:00.000,State,8475,2017
112743,TN,ADAMSVILLE POLICE DEPARTMENT,8475-01-475-6577,"HELMET,FLYERS",1,Each,8045.14,D,1.0,2017-10-18 00:00:00.000,State,8475,2017
112744,TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-282-3160,"COVER,INDIVIDUAL,CAMOUFLAGE",2,Each,8.85,A,1.0,2019-04-16 00:00:00.000,State,8415,2019
112745,TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-282-3160,"COVER,INDIVIDUAL,CAMOUFLAGE",48,Each,8.85,A,1.0,2019-04-16 00:00:00.000,State,8415,2019
112746,TN,ADAMSVILLE POLICE DEPARTMENT,8145-01-338-0615,"SHIPPING AND STORAGE CONTAINER,SMALL ARM",1,Each,596.37,A,1.0,2020-03-04 00:00:00.000,State,8145,2020
112747,TN,ADAMSVILLE POLICE DEPARTMENT,8405-00-889-3683,"LINER,WET WEATHER PONCHO",5,Each,36.97,A,1.0,2020-04-07 00:00:00.000,State,8405,2020
112748,TN,ADAMSVILLE POLICE DEPARTMENT,8405-00-889-3683,"LINER,WET WEATHER PONCHO",10,Each,36.97,A,1.0,2020-04-07 00:00:00.000,State,8405,2020
112749,TN,ADAMSVILLE POLICE DEPARTMENT,8405-00-889-3683,"LINER,WET WEATHER PONCHO",10,Each,36.97,A,1.0,2020-04-07 00:00:00.000,State,8405,2020
112751,TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-097-0249,"TRUCK,TANK",1,Each,396130.0,Q,3.0,2015-04-23 00:00:00.000,State,2320,2015
112752,TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",10,Each,13.56,D,1.0,2015-05-20 00:00:00.000,State,1005,2015
112753,TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-412-0143,"TRUCK,UTILITY",1,Each,89627.0,C,1.0,2015-07-06 00:00:00.000,State,2320,2015
112754,TN,ADAMSVILLE POLICE DEPARTMENT,5965-01-520-3847,"RADIO,PORTABLE     ",6,Each,4955.0,Q,3.0,2015-07-02 00:00:00.000,State,5965,2015
112755,TN,ADAMSVILLE POLICE DEPARTMENT,6665-01-512-7300,"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",1,Each,75313.0,C,1.0,2015-06-18 00:00:00.000,State,6665,2015
112756,TN,ADAMSVILLE POLICE DEPARTMENT,5855-01-599-7164,"ILLUMINATOR,INTEGRATED,SMALL ARMS",1,Each,2696.64,D,1.0,2016-01-21 00:00:00.000,State,5855,2016
112757,TN,ADAMSVILLE POLICE DEPARTMENT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",2,Each,1079.0,D,1.0,2016-02-02 00:00:00.000,State,1095,2016
112758,TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",6,Each,321.0,D,1.0,2015-12-24 00:00:00.000,State,1240,2015
112759,TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-571-7212,BORESIGHT KIT      ,1,Each,2505.0,C,1.0,2016-01-04 00:00:00.000,State,1005,2016
112760,TN,ADAMSVILLE POLICE DEPARTMENT,9515-25-160-7454,ARMOR PLATE,6,Each,302.0,D,7.0,2016-01-19 00:00:00.000,State,9515,2016
112761,TN,ADAMSVILLE POLICE DEPARTMENT,5855-01-535-6166,"ILLUMINATOR,INTEGRATED,SMALL ARMS",2,Each,848.0,D,1.0,2016-02-11 00:00:00.000,State,5855,2016
112762,TN,ADAMSVILLE POLICE DEPARTMENT,7025-01-528-7734,"MEMORY CARD,PERSONAL COMPUTER",25,Each,6.09,D,1.0,2015-10-05 00:00:00.000,State,7025,2015
112763,TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-921-5004,"MAGAZINE,CARTRIDGE",4,Each,13.56,D,1.0,2015-05-20 00:00:00.000,State,1005,2015
112781,TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,1665.0,D,,2015-12-23 00:00:00.000,State,5855,2015
112782,TN,ALAMO POLICE DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,89900.0,C,1.0,2018-05-24 00:00:00.000,State,2320,2018
112788,TN,ALCOA POLICE DEPT,8145-01-316-3296,SHIPPING AND STORAG,1,Each,6896.49,A,1.0,2019-05-06 00:00:00.000,State,8145,2019
112822,TN,ALGOOD POLICE DEPT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",40,Each,13.56,D,1.0,2016-04-12 00:00:00.000,State,1005,2016
112823,TN,ALGOOD POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458.0,C,1.0,2016-02-11 00:00:00.000,State,2320,2016
112824,TN,ALGOOD POLICE DEPT,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,6,Each,1200.0,C,,2019-10-18 00:00:00.000,State,1240,2019
112825,TN,ALGOOD POLICE DEPT,8115-01-220-9527,"CONTAINER,CARGO    ",1,Each,10670.0,A,1.0,2019-12-04 00:00:00.000,State,8115,2019
112826,TN,ALGOOD POLICE DEPT,6115-01-413-3818,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,25757.0,A,7.0,2019-10-18 00:00:00.000,State,6115,2019
112828,TN,ANDERSON CSO,2355-01-596-1330,MINE RESISTANT VEHICLE,1,Each,575000.0,C,1.0,2019-08-05 00:00:00.000,State,2355,2019
112830,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112831,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112832,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112833,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112834,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112835,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112836,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112837,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112838,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112839,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112840,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112841,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112842,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112843,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112844,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112845,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112846,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112847,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112848,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112849,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112850,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112851,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112852,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112853,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112854,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112855,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112856,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112857,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112858,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112859,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112860,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112861,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112862,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112863,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112864,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112865,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112866,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112867,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112868,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112869,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112870,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112871,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112872,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112873,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112874,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112875,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112876,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112877,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112890,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112891,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112892,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112893,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112894,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112895,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112903,TN,ANDERSON CSO,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
112950,TN,BAILEYTON POLICE DEPT,7025-01-599-1400,"NRP,WORKSTATION    ",1,Each,1092.0,D,1.0,2018-10-19 00:00:00.000,State,7025,2018
112951,TN,BAILEYTON POLICE DEPT,6545-01-539-6448,"BAG,MEDICAL AID    ",5,Each,359.79,A,1.0,2019-06-14 00:00:00.000,State,6545,2019
112952,TN,BAILEYTON POLICE DEPT,8465-DS-BAG-0002,INDIVIDUAL BAG,6,Each,100.0,A,,2019-06-14 00:00:00.000,State,8465,2019
112953,TN,BAILEYTON POLICE DEPT,8340-01-521-6438,"SHELTER,ICS IMPROVED COMBAT SHELTER",5,Each,363.14,A,1.0,2019-06-14 00:00:00.000,State,8340,2019
112954,TN,BAILEYTON POLICE DEPT,8440-01-508-3360,SOCKS,20,Pair,2.07,A,1.0,2019-09-25 00:00:00.000,State,8440,2019
112955,TN,BAILEYTON POLICE DEPT,6510-01-503-2117,"BANDAGE,GAUZE",10,Roll,2.23,A,1.0,2019-06-14 00:00:00.000,State,6510,2019
112956,TN,BAILEYTON POLICE DEPT,6515-01-521-7976,"TOURNIQUET,NONPNEUMATIC",5,Each,41.47,A,1.0,2019-06-14 00:00:00.000,State,6515,2019
113021,TN,BARTLETT POLICE DEPT,2540-01-530-7453,"ARMOR SET,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",1,Each,875.0,D,1.0,2016-10-13 00:00:00.000,State,2540,2016
113022,TN,BARTLETT POLICE DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,658000.0,C,1.0,2016-10-25 00:00:00.000,State,2355,2016
113071,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113072,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113073,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113074,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113075,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113076,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113077,TN,BAXTER POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113082,TN,BEDFORD COUNTY SHERIFF OFFICE,2541-01-555-4874,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",2,Each,1537.46,D,1.0,2016-06-03 00:00:00.000,State,2541,2016
113083,TN,BELLE MEADE POLICE DEPARTMENT,1005-01-233-8531,"EXTENSION,LOWER    ",5,Each,51.99,D,1.0,2015-03-30 00:00:00.000,State,1005,2015
113096,TN,BENTON COUNTY SHERIFF'S OFFICE,6920-DS-TRA-INE0,ARMAMENT TRAINING DEVICES,1,Each,36000.0,D,,2019-06-04 00:00:00.000,State,6920,2019
113097,TN,BENTON COUNTY SHERIFF'S OFFICE,5430-00-585-2529,"TANK,LIQUID STORAGE",1,Each,368.0,A,1.0,2019-06-06 00:00:00.000,State,5430,2019
113098,TN,BENTON COUNTY SHERIFF'S OFFICE,2410-01-223-0350,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,87683.0,A,1.0,2019-11-13 00:00:00.000,State,2410,2019
113099,TN,BENTON COUNTY SHERIFF'S OFFICE,2320-01-583-9356,"TRUCK,UTILITY",1,Each,8199.5,A,1.0,2019-08-02 00:00:00.000,State,2320,2019
113100,TN,BENTON COUNTY SHERIFF'S OFFICE,2410-01-163-6962,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,131501.0,A,7.0,2019-07-02 00:00:00.000,State,2410,2019
113147,TN,BETHEL SPRINGS POLICE DEPARTMENT,4240-01-332-2068,"FILTER ELEMENT,GAS,RECIRCULATION",2,Each,1484.0,F,7.0,2018-07-26 00:00:00.000,State,4240,2018
113154,TN,BLAINE POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113159,TN,BLAINE POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113162,TN,BLAINE POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113163,TN,BLAINE POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749.0,D,1.0,2014-10-02 00:00:00.000,State,1005,2014
113166,TN,BLOUNT COUNTY SHERIFFS OFFICE,2355-01-581-2392,MINE RESISTANT VEHICLE,1,Each,705421.0,D,1.0,2020-01-30 00:00:00.000,State,2355,2020
113167,TN,BLOUNT COUNTY SHERIFFS OFFICE,2340-01-549-5374,ALL TERRAIN VEHICLE WHEELED,1,Each,7159.97,A,1.0,2019-10-30 00:00:00.000,State,2340,2019
113168,TN,BLOUNT COUNTY SHERIFFS OFFICE,2340-01-571-4220,ALL TERRAIN VEHICLE WHEELED,1,Each,16576.21,A,1.0,2019-10-30 00:00:00.000,State,2340,2019
113169,TN,BLOUNT COUNTY SHERIFFS OFFICE,4220-01-584-7592,"VEST,DIVER'S SUIT",18,Each,2919.15,A,1.0,2019-12-03 00:00:00.000,State,4220,2019
113170,TN,BLOUNT COUNTY SHERIFFS OFFICE,8415-01-538-6704,"TROUSERS,EXTREME COLD WEATHER",50,Each,106.25,A,1.0,2020-01-22 00:00:00.000,State,8415,2020
113171,TN,BLOUNT COUNTY SHERIFFS OFFICE,8415-01-551-2164,"JACKET,COLD WEATHER",20,Each,62.27,A,1.0,2020-01-22 00:00:00.000,State,8415,2020
113172,TN,BLOUNT COUNTY SHERIFFS OFFICE,4240-01-430-1983,"FACESHIELD,PROTECTIVE",33,Each,40.42,A,1.0,2019-12-03 00:00:00.000,State,4240,2019
113173,TN,BLOUNT COUNTY SHERIFFS OFFICE,4220-01-608-4470,DIVERS SUIT,3,Each,1099.5,A,1.0,2019-11-20 00:00:00.000,State,4220,2019
113174,TN,BLOUNT COUNTY SHERIFFS OFFICE,8465-01-529-1512,"VEST,RHOD,REC,GN   ",1,Each,88.0,A,1.0,2020-02-05 00:00:00.000,State,8465,2020
113175,TN,BLOUNT COUNTY SHERIFFS OFFICE,1940-01-459-1333,"BOAT,LANDING,INFLATABLE",1,Each,18383.0,A,1.0,2020-02-05 00:00:00.000,State,1940,2020
113176,TN,BLOUNT COUNTY SHERIFFS OFFICE,8415-01-538-6315,"PARKA,EXTREME COLD WEATHER",3,Each,123.91,A,1.0,2020-02-12 00:00:00.000,State,8415,2020
113177,TN,BLOUNT COUNTY SHERIFFS OFFICE,8415-01-538-6278,"PARKA,EXTREME COLD WEATHER",5,Each,123.91,A,1.0,2020-02-05 00:00:00.000,State,8415,2020
113178,TN,BLOUNT COUNTY SHERIFFS OFFICE,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,33,Each,56.62,A,,2020-02-05 00:00:00.000,State,4240,2020
113179,TN,BLOUNT COUNTY SHERIFFS OFFICE,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,50,Each,56.62,A,,2020-02-05 00:00:00.000,State,4240,2020
113180,TN,BLOUNT COUNTY SHERIFFS OFFICE,8470-01-543-1624,"BODY ARMOR,FRAGMENTATION PROTECTIVE",18,Each,16.66,A,1.0,2020-02-05 00:00:00.000,State,8470,2020
113181,TN,BLOUNT COUNTY SHERIFFS OFFICE,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,50,Each,56.62,A,,2020-02-12 00:00:00.000,State,4240,2020
